operatorIata,registration,manufacturerName,model
UA,N11140,Embraer,EMB-145XR
UA,N11176,Embraer,EMB-145XR
UA,N11191,Embraer,EMB-145XR
UA,N11206,Boeing,'737-824'
UA,N12003,Boeing,'787-10'
UA,N12005,Boeing,'787-10'
UA,N12010,Boeing,'787-10'
UA,N12012,Boeing,'787-10'
UA,N12020,Boeing,'787-10'
UA,N12021,Boeing,'787-10'
UA,N12125,Boeing,'757-224'
UA,N12172,Embraer,EMB-145XR
UA,N12175,Embraer,EMB-145XR
UA,N12195,Embraer,EMB-145XR
UA,N12519,Embraer,EMB-135LR
UA,N13013,Boeing,'787-10'
UA,N13014,Boeing,'787-10'
UA,N13018,Boeing,'787-10'
UA,N13133,Embraer,EMB-145XR
UA,N13248,Boeing,'737-824'
UA,N14011,Boeing,'787-10'
UA,N14016,Boeing,'787-10'
UA,N14019,Boeing,'787-10'
UA,N14115,Boeing,'757-224'
UA,N14177,Embraer,EMB-145XR
UA,N14179,Embraer,EMB-145XR
UA,N14230,Boeing,'737-824'
UA,N14231,Boeing,'737-824'
UA,N144SY,Embraer S A,ERJ 170-200 LR
UA,N14505,Embraer,EMB-135ER
UA,N14508,Embraer,EMB-135ER
UA,N14516,Embraer,EMB-135LR
UA,N14522,Embraer,EMB-135LR
UA,N15969,Boeing,'787-9'
UA,N16008,Boeing,'787-10'
UA,N16183,Embraer,EMB-145XR
UA,N16217,Boeing,'737-824'
UA,N16520,Embraer,EMB-135LR
UA,N16713,Boeing,'737-724'
UA,N17015,Boeing,'787-10'
UA,N17017,Boeing,'787-10'
UA,N171UA,Boeing,'747-422'
UA,N17133,Boeing,'757-224'
UA,N17229,Boeing,'737-824'
UA,N17272,Boeing,'737-8'
UA,N17279,Boeing,'737-8'
UA,N17285,Boeing,'737-8'
UA,N17294,Boeing,'737-8'
UA,N17507,Embraer,EMB-135ER
UA,N17521,Embraer,EMB-135LR
UA,N17524,Embraer,EMB-135LR
UA,N17529,Boeing,'737-9'
UA,N17550,Boeing,'737-9'
UA,N17753,Boeing,'737-7V3'
UA,N182UA,Boeing,'747-422'
UA,N1902U,Airbus,A320-232
UA,N1914U,Airbus,A320-232
UA,N194UA,Boeing,'747-422'
UA,N195UA,Boeing,'747-422'
UA,N19503,Embraer,EMB-135ER
UA,N197UA,Boeing,'747-422'
UA,N19986,Boeing,'787-9'
UA,N2138U,Boeing,'777-300ER'
UA,N218AG,Bombardier Inc,CL-600-2C10
UA,N2250U,Boeing,'777-300ER'
UA,N2251U,Boeing,'777-300ER'
UA,N2331U,Boeing,'777-300ER'
UA,N2352U,Boeing,'777-300ER'
UA,N23983,Boeing,'787-9'
UA,N24202,Boeing,'737-824'
UA,N24517,Embraer,EMB-135LR
UA,N24702,Boeing,'737-724'
UA,N24972,Boeing,'787-9'
UA,N24973,Boeing,'787-9'
UA,N24974,Boeing,'787-9'
UA,N24976,Boeing,'787-9'
UA,N24979,Boeing,'787-9'
UA,N24980,Boeing,'787-9'
UA,N2534U,Boeing,'777-300ER'
UA,N25504,Embraer,EMB-135ER
UA,N25982,Boeing,'787-9'
UA,N26141,Embraer,EMB-145XR
UA,N2645U,Boeing,'777-300ER'
UA,N26906,Boeing,'787-8'
UA,N26909,Boeing,'787-8'
UA,N26967,Boeing,'787-9'
UA,N27190,Embraer,EMB-145XR
UA,N27205,Boeing,'737-824'
UA,N27251,Boeing,'737-8'
UA,N27252,Boeing,'737-8'
UA,N27255,Boeing,'737-8'
UA,N27256,Boeing,'737-8'
UA,N27258,Boeing,'737-8'
UA,N27260,Boeing,'737-8'
UA,N27261,Boeing,'737-8'
UA,N27263,Boeing,'737-8'
UA,N27267,Boeing,'737-8'
UA,N27268,Boeing,'737-8'
UA,N27269,Boeing,'737-8'
UA,N27270,Boeing,'737-8'
UA,N27271,Boeing,'737-8'
UA,N27273,Boeing,'737-8'
UA,N27274,Boeing,'737-8'
UA,N27276,Boeing,'737-8'
UA,N27277,Boeing,'737-8'
UA,N27283,Boeing,'737-8'
UA,N27287,Boeing,'737-8'
UA,N2737U,Boeing,'777-300ER'
UA,N2747U,Boeing,'777-300ER'
UA,N2748U,Boeing,'777-300ER'
UA,N2749U,Boeing,'777-300ER'
UA,N27503,Boeing,'737-9'
UA,N27506,Embraer,EMB-135ER
UA,N27509,Boeing,'737-9'
UA,N27511,Boeing,'737-9'
UA,N27520,Boeing,'737-9'
UA,N27523,Embraer,EMB-135LR
UA,N27526,Boeing,'737-9'
UA,N27539,Boeing,'737-9'
UA,N27546,Boeing,'737-9'
UA,N27901,Boeing,'787-8'
UA,N27903,Boeing,'787-8'
UA,N27908,Boeing,'787-8'
UA,N2846U,Boeing,'777-300ER'
UA,N28518,Embraer,EMB-135LR
UA,N28987,Boeing,'787-9'
UA,N29907,Boeing,'787-8'
UA,N29961,Boeing,'787-9'
UA,N29968,Boeing,'787-9'
UA,N29971,Boeing,'787-9'
UA,N29975,Boeing,'787-9'
UA,N29977,Boeing,'787-9'
UA,N29978,Boeing,'787-9'
'',N29981,Boeing,'787-9'
UA,N29985,Boeing,'787-9'
UA,N30913,Boeing,'787-8'
UA,N33103,Boeing,'757-224'
UA,N33182,Embraer,EMB-145XR
UA,N33262,Boeing,'737-824'
UA,N33284,Boeing,'737-824'
UA,N35204,Boeing,'737-824'
UA,N37255,Boeing,'737-824'
UA,N37257,Boeing,'737-8'
UA,N37263,Boeing,'737-824'
UA,N37278,Boeing,'737-8'
UA,N37293,Boeing,'737-824'
UA,N37295,Boeing,'737-8'
UA,N37298,Boeing,'737-824'
UA,N37502,Boeing,'737-9'
UA,N37504,Boeing,'737-9'
UA,N37506,Boeing,'737-9'
UA,N37507,Boeing,'737-9'
UA,N37508,Boeing,'737-9'
UA,N37510,Boeing,'737-9'
UA,N37513,Boeing,'737-9'
UA,N37514,Boeing,'737-9'
UA,N37516,Boeing,'737-9'
UA,N37518,Boeing,'737-9'
UA,N37521,Boeing,'737-9'
UA,N37523,Boeing,'737-9'
UA,N37528,Boeing,'737-9'
UA,N37530,Boeing,'737-9'
UA,N37531,Boeing,'737-9'
UA,N37532,Boeing,'737-9'
UA,N37534,Boeing,'737-9'
UA,N37535,Boeing,'737-9'
UA,N37536,Boeing,'737-9'
UA,N37537,Boeing,'737-9'
UA,N37538,Boeing,'737-9'
UA,N37540,Boeing,'737-9'
UA,N37541,Boeing,'737-9'
UA,N37542,Boeing,'737-9'
UA,N37545,Boeing,'737-9'
UA,N37547,Boeing,'737-9'
UA,N37548,Boeing,'737-9'
UA,N37549,Boeing,'737-9'
UA,N37551,Boeing,'737-9'
UA,N37553,Boeing,'737-9'
UA,N37554,Boeing,'737-9'
UA,N37555,Boeing,'737-9'
UA,N37556,Boeing,'737-9'
UA,N37562,Boeing,Boeing 737-9 MAX
UA,N38727,Boeing,'737-724'
UA,N38950,Boeing,'787-9'
UA,N411UA,Airbus Industrie,A320-232
UA,N418UA,Airbus Industrie,A320-232
UA,N45905,Boeing,'787-8'
UA,N47275,Boeing,'737-8'
UA,N47280,Boeing,'737-8'
UA,N47281,Boeing,'737-8'
UA,N47282,Boeing,'737-8'
UA,N47284,Boeing,'737-8'
UA,N47288,Boeing,'737-8'
UA,N47505,Boeing,'737-9'
UA,N47512,Boeing,'737-9'
UA,N47517,Boeing,'737-9'
UA,N47524,Boeing,'737-9'
UA,N47533,Boeing,'737-9'
UA,N482UA,Airbus Industrie,A320-232
UA,N4866U,Airbus,A319-132
UA,N4868U,Airbus,A319-132
UA,N4869U,Airbus,A319-132
UA,N489UA,Airbus,A320-232
UA,N4901U,Airbus,A320-232
UA,N4911U,Airbus,A320-200
UA,N501MJ,Bombardier,CRJ 700
UA,N503MJ,Bombardier,CRJ 700
UA,N503UA,Boeing,'757-222'
UA,N504MJ,Bombardier Inc,Regional-Jet-700
UA,N506MJ,Bombardier,CRJ 700
UA,N507GJ,Bombardier Aerospace,CL-600-2C10
UA,N508MJ,Bombardier Inc,CRJ-700
UA,N508UA,Boeing,'757-222'
UA,N510MJ,Bombardier,CRJ 700
UA,N513MJ,Bombardier Inc,CRJ-700
UA,N514MJ,Bombardier,CRJ 700
UA,N515MJ,Bombardier,Bombardier CRJ 700
UA,N516LR,Bombardier,CRJ 700 701ER
UA,N517UA,Boeing,'757-222'
UA,N521LR,Bombardier Inc,CL-600-2C10
UA,N522LR,Bombardier Inc,CL-600-2C10
UA,N527GJ,Bombardier Inc,CL-600-2C10
UA,N530GJ,Bombardier Inc,CL-600-2C11
UA,N531GJ,Bombardier Inc,CL-600-2C11
UA,N532GJ,Bombardier Inc,CL-600-2C11
UA,N532UA,Boeing,'757-222'
UA,N533GJ,Bombardier Inc,CL-600-2C11
UA,N550GJ,Bombardier Inc,CL-600-2C10
UA,N556GJ,Bombardier Inc,CL-600-2C11
UA,N557GJ,Bombardier Inc,CL-600-2C11
UA,N558GJ,Bombardier Inc,CL-600-2C11
UA,N559GJ,Bombardier Inc,CL-600-2C11
UA,N561GJ,Bombardier Inc,CL-600-2C11
UA,N562GJ,Bombardier Inc,CL-600-2C11
UA,N563GJ,Bombardier Inc,CL-600-2C11
UA,N564GJ,Bombardier Inc,CL-600-2C11
UA,N565GJ,Bombardier Inc,CL-600-2C11
UA,N566GJ,Bombardier Inc,CL-600-2C11
UA,N568GJ,Bombardier Inc,CL-600-2C11
UA,N569GJ,Bombardier Inc,CL-600-2C11
UA,N570GJ,Bombardier Inc,CL-600-2C11
UA,N571GJ,Bombardier Inc,CL-600-2C11
UA,N572GJ,Bombardier Inc,CL-600-2C11
UA,N57286,Boeing,'737-8'
UA,N573GJ,Bombardier Inc,CL-600-2C10
UA,N574GJ,Bombardier Inc,CL-600-2C10
UA,N575GJ,Bombardier Inc,CL-600-2C11
UA,N578GJ,Bombardier Inc,CL-600-2C11
UA,N57862,Boeing,'757-33N'
UA,N57864,Boeing,'757-33N'
UA,N57868,Boeing,'757-33N'
UA,N579GJ,Bombardier Inc,CL-600-2C11
UA,N5867U,Airbus,A319-132
UA,N601UX,Embraer S A,ERJ 170-200 LL
UA,N602UX,Embraer S A,ERJ 170-200 LL
UA,N603UX,Embraer S A,ERJ 170-200 LL
UA,N604UX,Embraer S A,ERJ 170-200 LL
UA,N605UX,Embraer S A,ERJ 170-200 LL
UA,N606UX,Embraer S A,ERJ 170-200 LL
UA,N607UX,Embraer S A,ERJ 170-200 LL
UA,N608UX,Embraer S A,ERJ 170-200 LL
UA,N609UX,Embraer S A,ERJ 170-200 LL
UA,N610UX,Embraer S A,ERJ 170-200 LL
UA,N611UX,Embraer S A,ERJ 170-200 LL
UA,N612UX,Embraer S A,ERJ 170-200 LL
UA,N613UX,Embraer S A,ERJ 170-200 LL
UA,N614UX,Embraer S A,ERJ 170-200 LL
UA,N615UX,Embraer S A,ERJ 170-200 LL
UA,N616UX,Embraer S A,ERJ 170-200 LL
UA,N617UX,Embraer S A,ERJ 170-200 LL
UA,N618UX,Embraer S A,ERJ 170-200 LL
UA,N619UX,Embraer S A,ERJ 170-200 LL
UA,N620UX,Embraer S A,ERJ 170-200 LL
UA,N621UX,Embraer S A,ERJ 170-200 LL
UA,N622UX,Embraer S A,ERJ 170-200 LL
UA,N623UX,Embraer S A,ERJ 170-200 LL
UA,N624UX,Embraer S A,ERJ 170-200 LL
UA,N625UX,Embraer S A,ERJ 170-200 LL
UA,N631RW,Embraer,ERJ 170-100 SE
UA,N635RW,Embraer,ERJ 170-100 SE
UA,N640RW,Embraer,ERJ 170-100 SE
UA,N642RW,Embraer,ERJ 170-100 SE
UA,N643UA,Boeing,'767-322'
UA,N646RW,Embraer,ERJ 170-100 SE
UA,N646UA,Boeing,'767-322'
UA,N647RW,Embraer,ERJ 170-100 SE
UA,N648RW,Embraer,ERJ 170-100 SE
UA,N652UA,Boeing,'767-322'
UA,N653RW,Embraer,ERJ 170-100 SE
UA,N657UA,Boeing,'767-322'
UA,N665UA,Boeing,'767-322'
UA,N67501,Boeing,'737-9'
UA,N684UA,Boeing,'767-3CB'
UA,N685UA,Boeing,'767-3CB'
UA,N686UA,Boeing,'767-3CB'
UA,N69830,Boeing,'737-924ER'
UA,N721YX,Embraer S A,ERJ 170-200 LR
UA,N722YX,Embraer S A,ERJ 170-200 LR
UA,N723YX,Embraer S A,ERJ 170-200 LR
UA,N725YX,Embraer S A,ERJ 170-200 LR
UA,N726YX,Embraer S A,ERJ 170-200 LR
UA,N727YX,Embraer S A,ERJ 170-200 LR
UA,N728YX,Embraer S A,ERJ 170-200 LR
UA,N729YX,Embraer S A,ERJ 170-200 LR
UA,N731YX,Embraer S A,ERJ 170-200 LR
UA,N732YX,Embraer S A,ERJ 170-200 LR
UA,N73275,Boeing,'737-824'
UA,N733YX,Embraer S A,ERJ 170-200 LR
UA,N736YX,Embraer S A,ERJ 170-200 LR
UA,N739YX,Embraer S A,ERJ 170-200 LR
UA,N751YX,Embraer S A,ERJ 170-200 LR
UA,N752YX,Embraer S A,ERJ 170-200 LR
UA,N77259,Boeing,'737-8'
UA,N77261,Boeing,'737-824'
UA,N77543,Boeing,'737-9'
UA,N77544,Boeing,'737-9'
UA,N77552,Boeing,'737-9'
UA,N78361,Yabora Industria Aeronautica S,ERJ 170-200 LL
UA,N78866,Boeing,'757-33N'
UA,N80343,Embraer S A,ERJ 170-200 LR
UA,N80348,Embraer S A,ERJ 170-200 LR
UA,N82366,Yabora Industria Aeronautica S,ERJ 170-200 LL
UA,N83EA,Bombardier Inc,CL-600-2C10
UA,N841UA,Airbus Industrie,A319-131
UA,N84378,Yabora Industria Aeronautica S,ERJ 170-200 LL
UA,N853UA,Airbus,A319-131
UA,N85351,Embraer S A,ERJ 170-200 LR
UA,N85355,Embraer S A,ERJ 170-200 LR
UA,N85356,Embraer S A,ERJ 170-200 LR
UA,N85358,Embraer S A,ERJ 170-200 LR
UA,N85363,Yabora Industria Aeronautica S,ERJ 170-200 LL
UA,N85369,Yabora Industria Aeronautica S,ERJ 170-200 LL
UA,N85370,Yabora Industria Aeronautica S,ERJ 170-200 LL
UA,N85373,Yabora Industria Aeronautica S,ERJ 170-200 LL
UA,N85374,Yabora Industria Aeronautica S,ERJ 170-200 LL
UA,N85376,Yabora Industria Aeronautica S,ERJ 170-200 LL
UA,N85377,Yabora Industria Aeronautica S,ERJ 170-200 LL
UA,N85379,Yabora Industria Aeronautica S,ERJ 170-200 LL
UA,N854UA,Airbus,A319-131
UA,N862RW,Embraer,ERJ 170-100 SE
UA,N863RW,Embraer,ERJ 170-100 SE
UA,N86334,Embraer S A,ERJ 170-200 LR
UA,N86371,Yabora Industria Aeronautica S,ERJ 170-200 LL
UA,N86372,Yabora Industria Aeronautica S,ERJ 170-200 LL
UA,N86375,Yabora Industria Aeronautica S,ERJ 170-200 LL
UA,N870UB,Airbus,A319-132
UA,N871UA,Airbus,A319-132
UA,N873UA,Airbus,A319-132
UA,N87339,Embraer S A,ERJ 170-200 LR
UA,N87345,Embraer S A,ERJ 170-200 LR
UA,N87360,Embraer S A,ERJ 170-200 LR
UA,N87364,Yabora Industria Aeronautica S,ERJ 170-200 LL
UA,N87365,Yabora Industria Aeronautica S,ERJ 170-200 LL
UA,N87367,Yabora Industria Aeronautica S,ERJ 170-200 LL
UA,N87368,Yabora Industria Aeronautica S,ERJ 170-200 LL
UA,N87380,Yabora Industria Aeronautica S,ERJ 170-200 LL
UA,N874UA,Airbus,A319-132
UA,N875UA,Airbus,A319-132
UA,N876UA,Airbus,A319-132
UA,N877UA,Airbus,A319-132
UA,N878UA,Airbus,A319-132
UA,N88359,Embraer,ERJ 170-200 LR
UA,N893UA,Airbus,A319-132
UA,N89357,Embraer S A,ERJ 170-200 LR
UA,N89362,Yabora Industria Aeronautica S,ERJ 170-200 LL
UA,N898UA,Airbus,A319-132
UA,N899UA,Airbus,A319-132
UA,N91007,Boeing,'787-10'
UA,N923UA,Boeing,'737-522'
UA,N929UA,Boeing,'737-522'
UA,N930UA,Boeing,'737-522'